symbol,cluster_id,squeeze_timestamp,squeeze_score,conditions,adx,h4_trend_bias,d1_trend_bias,h4_ma_slope,d1_ma_slope,anchor_range_pct,breakout_timestamp,breakout_direction,breakout_bar_idx,entry_price,returns_1bar,returns_5bar,returns_10bar,returns_20bar,max_drawdown_pct,max_runup_pct,hit_1r,hit_2r,hit_3r,stop_triggered,stop_after_entry,stop_bar_idx,pnl_5bar,pnl_10bar,pnl_20bar
UK100,UK100_20251128_11,2025-11-28 11:00:00,3,BB+Pivot+SR,20.738499510886438,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5344845307842533,2025-11-28 16:00:00,up,5,9748.0,0.0,-0.11797291752154287,-0.24620434961017645,-0.20004103405826837,-0.2769798933114485,0.05642183011899877,False,False,False,False,False,,-0.11797291752154287,-0.24620434961017645,-0.20004103405826837
UK100,UK100_20251202_02,2025-12-02 02:00:00,4,BB+Pivot+SR+ADX<20,15.434451131193207,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.519600781973454,2025-12-03 10:00:00,down,28,9702.0,0.0,0.12883941455370027,0.18037518037518038,0.1443001443001443,-0.3968253968253968,0.03607503607503607,False,False,False,False,False,,-0.12883941455370027,-0.18037518037518038,-0.1443001443001443
UK100,UK100_20251202_08,2025-12-02 08:00:00,3,Pivot+SR+ADX<20,16.173725667714105,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5184804928131417,2025-12-03 10:00:00,down,22,9702.0,0.0,0.12883941455370027,0.18037518037518038,0.1443001443001443,-0.3968253968253968,0.03607503607503607,False,False,False,False,False,,-0.12883941455370027,-0.18037518037518038,-0.1443001443001443
UK100,UK100_20251204_04,2025-12-04 04:00:00,3,Pivot+SR+ADX<20,13.980997446038987,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.48765463785226626,2025-12-05 09:00:00,up,25,9748.5,0.0,-0.28722367543724675,-0.615479304508386,-0.7231881827973534,-0.8103810842693747,0.0,False,False,False,True,True,8.0,-0.28722367543724675,-0.615479304508386,-0.7231881827973534
UK100,UK100_20251204_10,2025-12-04 10:00:00,3,Pivot+SR+ADX<20,17.21181152873831,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.540040117265854,2025-12-05 20:00:00,down,30,9675.5,0.0,-0.015503074776497337,0.19120458891013384,-0.2945584207534494,-0.19120458891013384,0.36690610304377036,False,False,False,False,False,,0.015503074776497337,-0.19120458891013384,0.2945584207534494
UK100,UK100_20251204_16,2025-12-04 16:00:00,3,Pivot+SR+ADX<20,13.954316920398204,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5390420452795318,2025-12-05 20:00:00,down,24,9675.5,0.0,-0.015503074776497337,0.19120458891013384,-0.2945584207534494,-0.19120458891013384,0.36690610304377036,False,False,False,False,False,,0.015503074776497337,-0.19120458891013384,0.2945584207534494
UK100,UK100_20251205_02,2025-12-05 02:00:00,5,BB+Pivot+SR+ADX<20+ADX<13,12.283200540220502,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5546425636811833,2025-12-05 20:00:00,down,18,9675.5,0.0,-0.015503074776497337,0.19120458891013384,-0.2945584207534494,-0.19120458891013384,0.36690610304377036,False,False,False,False,False,,0.015503074776497337,-0.19120458891013384,0.2945584207534494
UK100,UK100_20251205_08,2025-12-05 08:00:00,3,BB+ADX<20+ADX<13,9.211170987095429,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5901672995997126,2025-12-05 20:00:00,down,12,9675.5,0.0,-0.015503074776497337,0.19120458891013384,-0.2945584207534494,-0.19120458891013384,0.36690610304377036,False,False,False,False,False,,0.015503074776497337,-0.19120458891013384,0.2945584207534494
UK100,UK100_20251205_14,2025-12-05 14:00:00,4,BB+Pivot+SR+ADX<20,13.239146170401325,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.43726529142445597,2025-12-05 15:00:00,down,1,9699.5,0.0,-0.11856281251610906,-0.2629001494922419,-0.3969276766843652,0.0,0.48456105984844583,False,False,False,False,False,,0.11856281251610906,0.2629001494922419,0.3969276766843652
UK100,UK100_20251208_16,2025-12-08 16:00:00,3,BB+Pivot+SR,38.54714880614279,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5851587178292165,2025-12-09 18:00:00,down,22,9637.0,0.0,-0.11933174224343676,-0.1400850887205562,0.2127218013904742,-0.518833661927986,0.1660267718169555,False,False,False,False,False,,0.11933174224343676,0.1400850887205562,-0.2127218013904742
