min_score,max_wait,min_atr,require_structural,setups,breakouts,breakout_rate,win_rate_5bar,win_loss_ratio,expectancy,hit_1r,stop_rate,validation,score
2,20,0.1,True,1359,1024,0.753495217071376,0.5234375,1.0285822161869205,0.016292336284201125,0.14453125,0.2197265625,逻辑需要调整,0.6006107401229167
2,20,0.25,False,1538,971,0.6313394018205462,0.4984552008238929,0.994135020296272,-0.0016151312165218201,0.15756951596292482,0.19464469618949537,暂不建议进入实盘,-0.06334115507349898
2,20,0.25,True,1359,865,0.6364974245768947,0.48323699421965316,0.9957773031590214,-0.009509125446749422,0.1606936416184971,0.20346820809248556,暂不建议进入实盘,-0.3505502693332037
2,20,0.5,False,1538,667,0.4336801040312094,0.4947526236881559,0.9057266948007714,-0.016938874813363786,0.15592203898050974,0.1634182908545727,暂不建议进入实盘,-0.6642976653218359
2,20,0.5,True,1359,592,0.43561442236938924,0.48817567567567566,0.9225689702402855,-0.018696939295836712,0.16216216216216217,0.17736486486486486,暂不建议进入实盘,-0.6892555096223489
2,30,0.1,False,1538,1318,0.8569570871261378,0.5151745068285281,1.1723838680799499,0.02941172311341113,0.13884673748103188,0.3163884673748103,逻辑需要调整,1.1534496365671725
2,30,0.1,True,1359,1170,0.8609271523178808,0.5188034188034188,1.107480971826194,0.023611171827023963,0.14017094017094017,0.3316239316239316,逻辑需要调整,0.8704168106295369
2,30,0.25,False,1538,1155,0.7509752925877763,0.49523809523809526,1.0826113913246371,0.008172095857094691,0.15757575757575756,0.2995670995670996,逻辑需要调整,0.32048788709220044
2,30,0.25,True,1359,1030,0.7579102281089036,0.48349514563106794,1.0836972787986394,0.0019416862996473883,0.16116504854368932,0.3174757281553398,逻辑需要调整,0.07157952212468272
2,30,0.5,False,1538,891,0.5793237971391417,0.4882154882154882,1.0437629210052548,-0.0006252463398027652,0.1627384960718294,0.2760942760942761,暂不建议进入实盘,-0.02452050023147426
2,30,0.5,True,1359,793,0.5835172921265637,0.48297604035308955,1.0747535485391904,0.000595439436521239,0.16897856242118536,0.29255989911727615,逻辑需要调整,0.02195064688261986
3,10,0.1,False,1134,623,0.5493827160493827,0.521669341894061,1.0741368627137984,0.02030399422516256,0.1508828250401284,0.12520064205457465,逻辑需要调整,0.6837353097623545
3,10,0.1,True,1125,618,0.5493333333333333,0.5210355987055016,1.0642468210279281,0.018799724114683877,0.15210355987055016,0.1262135922330097,逻辑需要调整,0.630561916180128
3,10,0.25,False,1134,471,0.41534391534391535,0.4968152866242038,1.0086774177226994,-0.000520776698720693,0.15498938428874734,0.12101910828025478,暂不建议进入实盘,-0.017537111834652255
3,10,0.25,True,1125,465,0.41333333333333333,0.4946236559139785,1.0099500213424837,-0.0014850395865469712,0.15698924731182795,0.12258064516129032,暂不建议进入实盘,-0.049809741971958144
3,10,0.5,False,1134,273,0.24074074074074073,0.5164835164835165,1.0156257294019984,0.011589763344619697,0.14652014652014653,0.10256410256410256,逻辑需要调整,0.3902843126642233
3,10,0.5,True,1125,271,0.2408888888888889,0.5129151291512916,1.0168005938069677,0.009728642002978183,0.14760147601476015,0.1033210332103321,逻辑需要调整,0.3263085727112839
3,15,0.1,False,1134,779,0.6869488536155203,0.5301668806161746,1.1161124957130313,0.029559566250014213,0.1527599486521181,0.15661103979460847,逻辑需要调整,0.9954159246827944
3,15,0.1,True,1125,773,0.6871111111111111,0.5304010349288486,1.1054034979147327,0.028490287314176202,0.1539456662354463,0.1591203104786546,逻辑需要调整,0.9555932869949684
3,15,0.25,False,1134,623,0.5493827160493827,0.492776886035313,1.1009767772774415,0.0087574721333743,0.1637239165329053,0.1476725521669342,逻辑需要调整,0.29490714267576207
3,15,0.25,True,1125,616,0.5475555555555556,0.4902597402597403,1.1067317040793585,0.008185556312195752,0.16558441558441558,0.14935064935064934,逻辑需要调整,0.2745519052158329
3,15,0.5,False,1134,407,0.35890652557319225,0.5257985257985258,1.0157915917593623,0.01687575089138671,0.15724815724815724,0.13022113022113022,逻辑需要调整,0.568289501821026
